שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
,"בית ספר חרדי מנח""י יד אשר בנות",אחלמה 8,,,יסודי,,,31.72789011109422,35.19008746314466,"אחלמה 8, ירושלים",,,"גילה, מקלט בבית ספר"
,"בית ספר מקיף גילה - גרינברג, עירוני י""ז",ורדינון 12,,,על יסודי,,,31.736122327271108,35.197508344475445,"ורדינון 12, ירושלים",,,"גילה, מקלט בבית ספר"
,בית ספר ארץ הצבי,הגננת 29,,,על יסודי,,,31.729946653199956,35.19102665160189,"הגננת 29, ירושלים",,,"גילה, מקלט בבית ספר"
,בית ספר הרטמן,קליין 7,,,על יסודי,,,31.766175854565347,35.21796532854604,"קליין 7, ירושלים",,,"המושבה הגרמנית, המושבה היוונית, מקלט בבית ספר"
,"בית ספר ממ""ד יהודה-הלוי",הצפירה 29,,,יסודי,,,31.765237634671802,35.21542340244779,"הצפירה 29, ירושלים",,,"המושבה הגרמנית, המושבה היוונית, מקלט בבית ספר"
,בית ספר בית חינוך,עמק רפאים 22,,,על יסודי,,,31.76530735759498,35.22035911349245,"עמק רפאים 22, ירושלים",,,"המושבה הגרמנית, המושבה היוונית, מקלט בבית ספר"
,"בית ספר מ""מ תל""י ע""ש אילן רמון",הרב יצחק ניסים 3,,,יסודי,,,31.726352626632465,35.22331858676227,"הרב יצחק ניסים 3, ירושלים",חומת שמואל - 242,,"הר חומה, מקלט בבית ספר"
,"בית ספר מ""מ עופרים",שביבי אש 5,,,יסודי,,,31.72409964975359,35.21609372081664,"שביבי אש 5, ירושלים",,,"הר חומה, מקלט בבית ספר"
,"בית ספר ממ""ד תורני חומת שמואל",שאול אביגור 9,,,יסודי,,,31.723801289439717,35.22031952971927,"שאול אביגור 9, ירושלים",,,"הר חומה, מקלט בבית ספר"
,"בית ספר ממ""ד תורני ע""ש הרב ""עמיטל",אליהו קורן 18,,,יסודי,,,31.72215593420757,35.22456925348089,"אליהו קורן 18, ירושלים",,,"הר חומה, מקלט בבית ספר"
,בית ספר ישיבת הר חומה,הרב מן ההר 4,,,על יסודי,,,31.722190420930403,35.22431373245771,"הרב מן ההר 4, ירושלים",,,"הר חומה, מקלט בבית ספר"
,בית ספר אביעזרי,הרב שאול אבן דנאן 28,,,יסודי,,,31.780975599255758,35.17307478044004,"הרב שאול אבן דנאן 28, ירושלים",,,"הר נוף, מקלט בבית ספר"
,אולפנת ראשית,הרב רפאל קצנלבוגן 43,,,על יסודי,,,31.78493120994357,35.17544264975164,"הרב רפאל קצנלבוגן 43, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר אור חדש,הרב יצחק חי טייב 42,,,יסודי,,,31.78392637317963,35.171762911128596,"הרב יצחק חי טייב 42, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית האולפנא,זרח ברנט 6,,,על יסודי,,,31.782693181019383,35.174131013492456,"זרח ברנט 6, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר איתרי (ארחות איש- הר נוף),הרב רפאל קצנלבוגן 71,,,יסודי,,,31.78342999417135,35.178524422767964,"הרב רפאל קצנלבוגן 71, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר דמשק אליעזר (ויזניץ),הרב רפאל קצנלבוגן 80,,,על יסודי,,,31.782912314988316,35.178244432815454,"הרב רפאל קצנלבוגן 80, ירושלים",,,"הר נוף, מקלט בבית ספר"
